variant,k,log_c_k,c_k_digits
11,360,154.480909478403,68
11,370,156.770833917320,69
11,380,159.030506560936,70
11,390,161.261101032064,71
11,400,163.463716842678,71
11,410,165.639385791197,72
11,420,167.789077666369,73
11,430,169.913705347504,74
11,440,172.014129377368,75
11,450,174.091162072937,76
11,460,176.145571229853,77
11,470,178.178083468632,78
11,480,180.189387264115,79
11,490,182.180135694042,80
11,500,184.150948937987,80
11,510,186.102416553797,81
11,520,188.035099555309,82
11,530,189.949532312151,83
11,540,191.846224289897,84
11,550,193.725661646699,85
11,560,195.588308700586,85
11,570,197.434609280036,86
11,580,199.264987968967,87
11,590,201.079851256064,88
11,600,202.879588597286,89
11,610,204.664573399442,89
11,620,206.435163931879,90
11,630,208.191704172612,91
11,640,209.934524594568,92
11,650,211.663942897043,92
11,660,213.380264686974,93
11,670,215.083784114168,94
11,680,216.774784464240,95
11,690,218.453538712652,95
11,700,220.120310042919,96
11,710,221.775352331801,97
11,720,223.418910603979,98
11,730,225.051221458567,98
11,740,226.672513469538,99
11,750,228.283007562000,100
11,760,229.882917366079,100
11,770,231.472449550009,101
11,780,233.051804133918,102
11,790,234.621174785649,102
11,800,236.180749099855,103
11,810,237.730708861525,104
11,820,239.271230294976,104
11,830,240.802484299284,105
11,840,242.324636671047,106
11,850,243.837848315302,106
11,860,245.342275445360,107
11,870,246.838069772259,108
11,880,248.325378684487,108
11,890,249.804345418584,109
11,900,251.275109221178,110
11,910,252.737805502974,110
11,920,254.192565985187,111
11,930,255.639518838856,112
11,940,257.078788817470,112
11,950,258.510497383281,113
11,960,259.934762827680,113
11,970,261.351700385966,114
11,980,262.761422346829,115
11,990,264.164038156834,115
11,1000,265.559654520194,116
