variant,prime,log10_c,log10_binom,c_digits,binom_digits,ratio,log10_ratio
11,2003,165.537666,1203.725690,166,1204,0,-1038.188024315608
11,2503,185.780477,1504.707301,186,1505,0,-1318.926824142707
11,3001,204.022906,1804.493778,205,1805,0,-1600.470872139140
11,3511,221.200588,2111.510294,222,2112,0,-1890.309705669850
11,4001,236.568081,2406.491323,237,2407,0,-2169.923241957625
11,4507,251.482049,2711.107820,252,2712,0,-2459.625771321746
11,5003,265.311258,3009.706906,266,3010,0,-2744.395647978200
11,5503,278.576415,3310.716218,279,3311,0,-3032.139802564940
11,6007,291.352717,3614.135425,292,3615,0,-3322.782708259514
11,6521,303.843344,3923.576433,304,3924,0,-3619.733089049621
11,7001,315.071644,4212.549807,316,4213,0,-3897.478162390420
11,7507,326.500055,4517.177010,327,4518,0,-4190.676954857945
11,8009,337.464541,4819.397070,338,4820,0,-4481.932528489509
11,8513,348.133151,5122.822054,349,5123,0,-4774.688902711236
11,9001,358.166915,5416.615226,359,5417,0,-5058.448311078180
11,9511,368.367216,5723.653854,369,5724,0,-5355.286637532254
