variant,prime,residue_raw,residue_normalized
11,11,8,0.727272727273
11,13,11,0.846153846154
11,17,9,0.529411764706
11,19,0,0.000000000000
11,23,0,0.000000000000
11,29,17,0.586206896552
11,31,4,0.129032258065
11,37,4,0.108108108108
11,41,24,0.585365853659
11,43,6,0.139534883721
11,47,22,0.468085106383
11,53,19,0.358490566038
11,59,28,0.474576271186
11,61,51,0.836065573770
11,67,34,0.507462686567
11,71,27,0.380281690141
11,73,55,0.753424657534
11,79,15,0.189873417722
11,83,50,0.602409638554
11,89,25,0.280898876404
11,97,64,0.659793814433
11,101,71,0.702970297030
11,103,48,0.466019417476
11,107,81,0.757009345794
11,109,35,0.321100917431
11,113,7,0.061946902655
11,127,52,0.409448818898
11,131,68,0.519083969466
11,137,106,0.773722627737
11,139,58,0.417266187050
11,149,132,0.885906040268
11,151,93,0.615894039735
11,157,57,0.363057324841
11,163,145,0.889570552147
11,167,42,0.251497005988
11,173,4,0.023121387283
11,179,60,0.335195530726
11,181,86,0.475138121547
11,191,24,0.125654450262
11,193,85,0.440414507772
11,197,46,0.233502538071
11,199,169,0.849246231156
11,211,200,0.947867298578
11,223,39,0.174887892377
11,227,4,0.017621145374
11,229,132,0.576419213974
11,233,192,0.824034334764
11,239,215,0.899581589958
11,241,83,0.344398340249
11,251,175,0.697211155378
11,257,130,0.505836575875
11,263,18,0.068441064639
11,269,165,0.613382899628
11,271,192,0.708487084871
11,277,3,0.010830324910
11,281,145,0.516014234875
11,283,220,0.777385159011
11,293,88,0.300341296928
11,307,152,0.495114006515
11,311,27,0.086816720257
11,313,308,0.984025559105
11,317,271,0.854889589905
11,331,25,0.075528700906
11,337,86,0.255192878338
11,347,227,0.654178674352
11,349,50,0.143266475645
11,353,159,0.450424929178
11,359,173,0.481894150418
11,367,167,0.455040871935
11,373,86,0.230563002681
11,379,178,0.469656992084
11,383,317,0.827676240209
11,389,267,0.686375321337
11,397,96,0.241813602015
11,401,188,0.468827930175
11,409,148,0.361858190709
11,419,308,0.735083532220
11,421,398,0.945368171021
11,431,331,0.767981438515
11,433,175,0.404157043880
11,439,30,0.068337129841
11,443,240,0.541760722348
11,449,156,0.347438752784
11,457,320,0.700218818381
11,461,88,0.190889370933
11,463,97,0.209503239741
11,467,425,0.910064239829
11,479,398,0.830897703549
11,487,119,0.244353182752
11,491,241,0.490835030550
11,499,99,0.198396793587
11,503,5,0.009940357853
11,509,477,0.937131630648
11,521,12,0.023032629559
11,523,79,0.151051625239
11,541,226,0.417744916821
11,547,361,0.659963436929
11,557,389,0.698384201077
11,563,68,0.120781527531
11,569,101,0.177504393673
11,571,137,0.239929947461
11,577,1,0.001733102253
11,587,51,0.086882453152
11,593,585,0.986509274874
11,599,153,0.255425709516
11,601,437,0.727121464226
11,607,525,0.864909390445
11,613,266,0.433931484502
11,617,499,0.808752025932
11,619,515,0.831987075929
11,631,321,0.508716323296
11,641,396,0.617784711388
11,643,570,0.886469673406
11,647,77,0.119010819165
11,653,488,0.747320061256
11,659,179,0.271623672231
11,661,1,0.001512859304
11,673,111,0.164933135215
11,677,285,0.420974889217
11,683,323,0.472913616398
11,691,45,0.065123010130
11,701,430,0.613409415121
11,709,561,0.791255289140
11,719,401,0.557719054242
11,727,555,0.763411279230
11,733,420,0.572987721692
11,739,182,0.246278755074
11,743,420,0.565275908479
11,751,45,0.059920106525
11,757,521,0.688243064729
11,761,272,0.357424441524
11,769,494,0.642392717815
11,773,142,0.183699870634
11,787,557,0.707750952986
11,797,416,0.521957340025
11,809,619,0.765142150803
11,811,341,0.420468557337
11,821,758,0.923264311815
11,823,572,0.695018226002
11,827,0,0.000000000000
11,829,17,0.020506634499
11,839,435,0.518474374255
11,853,92,0.107854630715
11,857,126,0.147024504084
11,859,180,0.209545983702
11,863,70,0.081112398610
11,877,417,0.475484606613
11,881,702,0.796821793417
11,883,235,0.266138165345
11,887,844,0.951521984216
11,907,450,0.496141124587
11,911,511,0.560922063666
11,919,26,0.028291621328
11,929,344,0.370290635091
11,937,563,0.600853788687
11,941,854,0.907545164718
11,947,308,0.325237592397
11,953,568,0.596012591815
11,967,293,0.302998965874
11,971,146,0.150360453141
11,977,22,0.022517911975
11,983,231,0.234994913530
11,991,419,0.422805247225
11,997,802,0.804413239719
11,1009,378,0.374628344896
11,1013,472,0.465942744324
11,1019,781,0.766437684004
11,1021,802,0.785504407444
11,1031,691,0.670223084384
11,1033,178,0.172313649564
11,1039,235,0.226179018287
11,1049,892,0.850333651096
11,1051,182,0.173168411037
11,1061,351,0.330819981150
11,1063,794,0.746942615240
11,1069,935,0.874649204864
11,1087,3,0.002759889604
11,1091,448,0.410632447296
11,1093,947,0.866422689844
11,1097,416,0.379216043756
11,1103,389,0.352674524025
11,1109,397,0.357980162308
11,1117,1003,0.897940913160
11,1123,928,0.826357969724
11,1129,933,0.826395039858
11,1151,937,0.814074717637
11,1153,369,0.320034692108
11,1163,1150,0.988822012038
11,1171,879,0.750640478224
11,1181,892,0.755292125318
11,1187,1177,0.991575400168
11,1193,742,0.621961441744
11,1201,16,0.013322231474
11,1213,680,0.560593569662
11,1217,1160,0.953163516845
11,1223,798,0.652493867539
11,1229,385,0.313262815297
11,1231,335,0.272136474411
11,1237,865,0.699272433306
11,1249,145,0.116092874299
11,1259,1198,0.951548848292
11,1277,313,0.245105716523
11,1279,933,0.729476153245
11,1283,207,0.161340607950
11,1289,1087,0.843289371606
11,1291,336,0.260263361735
11,1297,1140,0.878951426369
11,1301,665,0.511145272867
11,1303,76,0.058326937836
11,1307,918,0.702371843917
11,1319,141,0.106899166035
11,1321,876,0.663133989402
11,1327,391,0.294649585531
11,1361,985,0.723732549596
11,1367,1187,0.868324798830
11,1373,728,0.530225782957
11,1381,458,0.331643736423
11,1399,1229,0.878484631880
11,1409,406,0.288147622427
11,1423,600,0.421644413212
11,1427,131,0.091800981079
11,1429,1215,0.850244926522
11,1433,636,0.443824145150
11,1439,90,0.062543432940
11,1447,359,0.248099516240
11,1451,787,0.542384562371
11,1453,877,0.603578802478
11,1459,1154,0.790952707334
11,1471,197,0.133922501700
11,1481,426,0.287643484132
11,1483,880,0.593391773432
11,1487,1263,0.849361129792
11,1489,334,0.224311618536
11,1493,486,0.325519089082
11,1499,331,0.220813875917
11,1511,578,0.382528127068
11,1523,245,0.160866710440
11,1531,1059,0.691704768125
11,1543,1124,0.728451069345
11,1549,1078,0.695932859910
11,1553,611,0.393432066967
11,1559,551,0.353431686979
11,1567,201,0.128270580728
11,1571,1175,0.747931253978
11,1579,992,0.628245725142
11,1583,1513,0.955780164245
11,1597,134,0.083907326237
11,1601,84,0.052467207995
11,1607,366,0.227753578096
11,1609,1330,0.826600372902
11,1613,404,0.250464972102
11,1619,1241,0.766522544781
11,1621,1190,0.734114743985
11,1627,675,0.414874001229
11,1637,806,0.492364080635
11,1657,495,0.298732649366
11,1663,1011,0.607937462417
11,1667,637,0.382123575285
11,1669,744,0.445775913721
11,1693,1361,0.803898405198
11,1697,1283,0.756040070713
11,1699,1512,0.889935256033
11,1709,69,0.040374488005
11,1721,1437,0.834979662987
11,1723,319,0.185142193848
11,1733,1461,0.843046739758
11,1741,1616,0.928202182654
11,1747,1292,0.739553520321
11,1753,1036,0.590986879635
11,1759,1727,0.981807845367
11,1777,132,0.074282498593
11,1783,302,0.169377453730
11,1787,584,0.326804700616
11,1789,308,0.172163219676
11,1801,980,0.544142143254
11,1811,1382,0.763114301491
11,1823,1148,0.629731212287
11,1831,964,0.526488257783
11,1847,797,0.431510557661
11,1861,958,0.514777001612
11,1867,1521,0.814675950723
11,1871,502,0.268305718867
11,1873,511,0.272824345969
11,1877,545,0.290356952584
11,1879,56,0.029803086748
11,1889,184,0.097406034939
11,1901,452,0.237769594950
11,1907,1074,0.563188253802
11,1913,443,0.231573444851
11,1931,220,0.113930605904
11,1933,1932,0.999482669426
11,1949,763,0.391482811698
11,1951,1652,0.846745258842
11,1973,1206,0.611251900659
11,1979,806,0.407276402223
11,1987,1144,0.575742325113
11,1993,1817,0.911690918214
11,1997,299,0.149724586880
11,1999,1795,0.897948974487
